bubbleSortCase1Random...0,0005...0,0003...0,0004...0,0004...0,0004...0,0004...0,0003...0,0003...0,0003...0,0004
bubbleSortCase2Random...0,0006...0,0004...0,0003...0,0003...0,0003...0,0003...0,0004...0,0003...0,0004...0,0004
bubbleSortCase3Random...0,0029...0,0029...0,0028...0,0028...0,0029...0,0029...0,0029...0,0028...0,0029...0,003
bubbleSortCase4Random...0,0054...0,0038...0,0037...0,0038...0,0036...0,0034...0,0034...0,0034...0,0034...0,0034
bubbleSortCase5Random...0,0283...0,0572...0,0254...0,0254...0,0252...0,0252...0,0251...0,0251...0,0251...0,0251
bubbleSortCase6Random...0,0306...0,028...0,028...0,0279...0,028...0,0279...0,028...0,0279...0,028...0,028
bubbleSortCase1Sorted...0,0006...0,0004...0,0004...0,0004...0,0004...0,0004...0,004...0,0004...0,0004...0,0004
bubbleSortCase2Sorted...0,0005...0,0005...0,0005...0,0005...0,0004...0,0003...0,0004...0,0003...0,0003...0,0004
bubbleSortCase3Sorted...0,0039...0,0038...0,0038...0,0038...0,0038...0,0038...0,004...0,0037...0,0038...0,0037
bubbleSortCase4Sorted...0,0039...0,0038...0,0038...0,0039...0,0038...0,0037...0,0038...0,0037...0,0037...0,0036
bubbleSortCase5Sorted...0,0337...0,0336...0,0336...0,0337...0,0337...0,0336...0,0336...0,0335...0,0335...0,0336
bubbleSortCase6Sorted...0,0337...0,0337...0,0337...0,0337...0,0338...0,0335...0,0335...0,0336...0,0336...0,0336
bubbleSortCase1Reverse...0,0008...0,0007...0,0007...0,0007...0,0006...0,0007...0,0007...0,0006...0,0007...0,0006
bubbleSortCase2Reverse...0,0009...0,0005...0,0003...0,0004...0,0004...0,0003...0,0004...0,0004...0,0004...0,0005
bubbleSortCase3Reverse...0,0029...0,0026...0,0026...0,0026...0,0026...0,0025...0,0026...0,0026...0,0025...0,0026
bubbleSortCase4Reverse...0,0026...0,0026...0,0025...0,0026...0,0026...0,0026...0,0025...0,0026...0,0026...0,0027
bubbleSortCase5Reverse...0,1025...0,1006...0,1005...0,1004...0,1005...0,1006...0,1248...0,1008...0,1005...0,1005
bubbleSortCase6Reverse...0,0266...0,0252...0,0306...0,0369...0,0355...0,0304...0,0697...0,0411...0,0365...0,0372
bubbleSortCase1NearlySorted...0,0007...0,0007...0,0006...0,0005...0,0008...0,0006...0,0004...0,0003...0,0005...0,0006
bubbleSortCase2NearlySorted...0,0006...0,0006...0,0006...0,0005...0,0006...0,0006...0,0006...0,0006...0,0005...0,0006
bubbleSortCase3NearlySorted...0,0032...0,0031...0,003...0,003...0,003...0,003...0,003...0,003...0,003...0,0031
bubbleSortCase4NearlySorted...0,0108...0,0102...0,0102...0,0101...0,0419...0,0124...0,0116...0,0116...0,0105...0,0102
bubbleSortCase5NearlySorted...0,062...0,0527...0,0626...0,0607...0,0704...0,0601...0,054...0,0552...0,0522...0,0536
bubbleSortCase5NearlySorted...0,0311...0,0297...0,0296...0,0298...0,0296...0,0296...0,0296...0,0296...0,0648...0,1016
insertionSortCase1Random...0,0009...0,0009...0,0007...0,001...0,0009...0,0009...0,0011...0,0008...0,001...0,0008
insertionSortCase2Random...0,0013...0,0013...0,0013...0,0013...0,0012...0,0013...0,0013...0,0013...0,0013...0,0013
insertionSortCase3Random...0,0108...0,0101...0,0098...0,0106...0,0111...0,0099...0,0101...0,0105...0,0107...0,0099
insertionSortCase4Random...0,0089...0,0084...0,0092...0,0381...0,0145...0,0137...0,0136...0,0761...0,0143...0,0136
